TIPO;EMAIL;PASSWORD
GESTOR;backoffice@issmf.ipp.pt;240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9
DOCENTE;pkf@issmf.ipp.pt;79ac3adcb81814bc66d2195c3e8f778448e9db11a3050792b2c1586ce5709acb
DOCENTE;phh@issmf.ipp.pt;8fe2116515b418d7a9b7876833eee8dd82c549528caab454565dadf7ef5a3120
DOCENTE;pdu@issmf.ipp.pt;bfaf0dfcbf0dac1e7a7c74694d778bcac1f67ca79c0fcb4248a9e2887223f359
DOCENTE;ptw@issmf.ipp.pt;cf0565c1bf6961d526532cf9fd344545dbb6181d3875c98688e7c3508f523814
DOCENTE;piw@issmf.ipp.pt;ded667917127c79f410e0825098fd638c909d333b4b5057ae9a2e000af8aed8d
DOCENTE;pbr@issmf.ipp.pt;cb43a88bc76e69c4493388cd1381178a00c522e4c530ff199d3953df7647d133
DOCENTE;pay@issmf.ipp.pt;9b287efa0b64111b6d66547d486ece564f6e40ef0b26a41d79a296790390e126
ESTUDANTE;20260001@issmf.ipp.pt;ab05344ff061e3979c9ba08701773417f596faa18985607049832f98a36e1689
ESTUDANTE;20260002@issmf.ipp.pt;5f093ccdc90e408bce33a620a6dcb88030cd60d4f5d15570d73bc5ebc1d7f2e9
ESTUDANTE;20260003@issmf.ipp.pt;0408b0b257fdd7e6d84cf4b8678ded8f81a88fc6e8b3c905eaa9e3ad565a92c4
ESTUDANTE;20260004@issmf.ipp.pt;b82642220d0e52fbe44f824178d97bde4762a54aa83f175242751be47c4418db
ESTUDANTE;20260005@issmf.ipp.pt;c62d664da8d246b1cff3110e45629c11c56bc9b1182c3475db216a621737c428
ESTUDANTE;20260006@issmf.ipp.pt;e4b4872e630d0b013a282894ba3537671aad5c5ccab8f685bc3dfb023f3b9357
ESTUDANTE;20260007@issmf.ipp.pt;65d41d53fbd092a22b2f0b38b067bf36918016d794ad0a65a038aa431f2ba38e
ESTUDANTE;20260008@issmf.ipp.pt;bff8037527364a9b190aed393c38ae03039413a2d9394e0ff410007490ff407f
GESTOR;backoffice_brandão@issmf.ipp.pt;4638d083d2f16cf70d812a0f59dded9de901d7b5b530feaae1901c08694f6c5a
GESTOR;backoffice_ovar@issmf.ipp.pt;af7958124ddbd80d929c7ce085ce5bff8576f3cd5c8b3c443c017b131256658f
