TIPO;EMAIL;PASSWORD
GESTOR;backoffice@issmf.ipp.pt;240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9
GESTOR;backoffice_brandão@issmf.ipp.pt;83311cbf4ba0ffc842338dffdfceac10ba7873c18d7bd07de46a87558d920f9f
GESTOR;backoffice_ovar@issmf.ipp.pt;087f8be3b5281223ddd482d02ec37250c1b45cb09da9a283529a18325675753a
DOCENTE;pnq@issmf.ipp.pt;af88c01441d2c40e2e50b1c0679333caccf9c2c2e10841911106988750141649
DOCENTE;pgq@issmf.ipp.pt;37f3c990c012f4191e037fb83363c2719b61e0999c0593900e686b90cd363027
DOCENTE;pxc@issmf.ipp.pt;c701f48411c15d65b272cfac95e65bf376e8b8edf604df9af6c530981caac527
DOCENTE;pwc@issmf.ipp.pt;b425982574acd3b9c905d2510d296b396302997d31ba656457a7afd2870c1013
DOCENTE;psg@issmf.ipp.pt;4e405e64db47ece96a72c2b132d356fcaa9baf548a1048965a0a5affdafdd044
DOCENTE;pbe@issmf.ipp.pt;b2dfbc3cfa09ccbc9de6fe5fd5346ca2c5127679027e9e3ef3d1f9a6e8a3a747
DOCENTE;pfo@issmf.ipp.pt;750e42a8f1461c47d8632799969ab5eb6be812f2c21ecb18e63d2c3d568faf24
ESTUDANTE;20260001@issmf.ipp.pt;7351c978d665e927929d42ae7a4f033767cd856e1607709835f4b454426d9fcd
ESTUDANTE;20260002@issmf.ipp.pt;fdb48536dbc057084085aa17c8ab0868cca821c477762d6e22d5d3555d675f4b
ESTUDANTE;20260003@issmf.ipp.pt;b9275cde37e5e980fb7027509f8b4b09cab90e695a955201c4d11e484e4bace5
ESTUDANTE;20260004@issmf.ipp.pt;426d31b5227ceba8e0ca4fc5cff109b7d15b20ff59fa0d0d85d6cab68299f7e8
ESTUDANTE;20260005@issmf.ipp.pt;8318b4f5be926a0b912a10202871ccc031a03dea7b3e578bd66ae61112174d04
ESTUDANTE;20260005@issmf.ipp.pt;33c2f3a4a71fe186f32a8addd57dc3f05ffe59e3b7b78eecd20915a8de949b15
ESTUDANTE;20260005@issmf.ipp.pt;f7d543939eafd56557dd2c3608e80455e7390d3fab5f8e7462cddfb3fdc36226
ESTUDANTE;20260005@issmf.ipp.pt;3213863a7d2e8cfdc86503a1c9bf796760c40f3c9d5c002f520e68c4942caa05
ESTUDANTE;20260006@issmf.ipp.pt;65b0de0010341503eedc05730c61ff10100acbdc79cd2ccc45a59b4cf07da283
ESTUDANTE;20260007@issmf.ipp.pt;d463e1c9029f144b1ec9121216743c0950e76b13c0477b604e1c47b8e41a1d82
