TIPO;EMAIL;PASSWORD
GESTOR;backoffice@issmf.ipp.pt;240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9
GESTOR;backoffice_brandão@issmf.ipp.pt;eb9ebb5c40421812e0f618f59a36b99ed9f468b27f9badb3c752cca8b9ec1747
GESTOR;backoffice_ovar@issmf.ipp.pt;6776adad5df9d7ed69fd08ce295e430646d451471b60b10bfd0c1c8eabc91f45
DOCENTE;ple@issmf.ipp.pt;acdde8e764d5b9d1830ec61dec9fba2dd049c02374f36cb4b09cb12190650bb9
DOCENTE;prf@issmf.ipp.pt;8ba889a55b27ba5a731ff0b304876017b10abf10e5af3727fb8e1a1969e8deed
DOCENTE;pel@issmf.ipp.pt;1dbd2dcadbbe7726b6f3fb66b2c54fbad201cdab32948a8602fd5ad697aeb454
DOCENTE;peg@issmf.ipp.pt;ba03e67490f1fec8fb14d130e96edd5b675e87aa94426c4f7d2a3a8d04e417fb
DOCENTE;ppi@issmf.ipp.pt;c8845b2b927f35084a35f55c9c356a5823be9983f26e72bf77adf71cf42de642
DOCENTE;pcl@issmf.ipp.pt;34ac6b85dd95716faa049cca9504a8f574ff0ce674db4db830997e80b7b76534
DOCENTE;pia@issmf.ipp.pt;8a26c3298656aa1bddc4a65e70ba1a2cbad831666d8fb8c4f9573dfdb411887e
