TIPO;EMAIL;PASSWORD
GESTOR;backoffice@issmf.ipp.pt;240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9
GESTOR;backoffice_brandão@issmf.ipp.pt;ddf0b86f62413cc18706340ebf2964732e26ac5378b8021cf890f0d44eb9b0e6
GESTOR;backoffice_ovar@issmf.ipp.pt;bdedc9272f412c36f7dd641c9d97bd6efd87a29a82e8a9cf1ddd555d73e9ede9
DOCENTE;pbq@issmf.ipp.pt;a0ee8badf3bcb44711ed6561cc5558358f497a2b2ae1a3f803472958d629861d
DOCENTE;pdz@issmf.ipp.pt;667b7d623f0a3716a3b0a3dc3d4b1dca5ba425f6b21c0297d723f8afcb8a3b58
DOCENTE;pim@issmf.ipp.pt;5df2d4387e6964f019e302e19e196808225a58280dfcad666380b1d209b49375
DOCENTE;pya@issmf.ipp.pt;a5e74fad5750d635f643dfcf5b811216e03856bb38105efdf5194aa0f6dd24b8
DOCENTE;pcu@issmf.ipp.pt;f3342fd44d7030d1c687ea29065d218cd6d2499b7dc68c8f772b4369b50e9a1e
DOCENTE;pgn@issmf.ipp.pt;aeee3a7ea7ac8344a982fbf6357a70b688e5022ec59115c4fe1e4c6d07a9b996
DOCENTE;pvu@issmf.ipp.pt;e442726a887593cbcb8680cc065e5f52d3129a222e1adcc46cdb81f927103e94
ESTUDANTE;20260001@issmf.ipp.pt;48ddb8ebbf5288e87692c532df9365fb957ec485a414253133b1557a1cd1688f
ESTUDANTE;20260002@issmf.ipp.pt;9b6ef4e44544c85e3a3383aeda7963a4c81ebb9c1d25dc38cf35ca96280dbc9d
ESTUDANTE;20260003@issmf.ipp.pt;566820449d28f380e9a1e7ad9c6e135ad8fd498776bb542f9c81cfdf64a5196d
ESTUDANTE;20260004@issmf.ipp.pt;52c31b07da3cb581ff944362b7af3e3e357cffee9b5c03437b1323057f2da0b7
ESTUDANTE;20260005@issmf.ipp.pt;9521c32c8c7131229e83f1f1353441fa4a18b3ffdfeb6a2a063fd43ff8c3d99c
ESTUDANTE;20260006@issmf.ipp.pt;ceb768544517a4d3bbfd7f752e3e67bfb5a77c8ceba7ef5cca13fee58871c6ca
ESTUDANTE;20260007@issmf.ipp.pt;6ca70aef6335b555bd51778f487f97d803bbff32eab12bd1ddb887e37690d111
ESTUDANTE;20260008@issmf.ipp.pt;6240193bd1d81ee99f5f2c059f8ab4a380e9275a71de1bc3c28982bf408df7f0
